Time_s,Pos_X,Pos_Y,Theta_rad,State,Worker_Det,Lidar_Front,Lidar_Left,Lidar_Right
0.32,-18.164,0.000,0.000,FORWARD,False,8.53,7.16,4.06
0.64,-18.068,0.000,0.000,FORWARD,False,8.45,7.11,4.05
0.96,-17.972,0.000,0.000,FORWARD,False,10.84,7.08,4.08
1.28,-17.876,0.000,0.000,FORWARD,False,10.69,7.03,4.06
1.60,-17.780,0.000,0.000,FORWARD,False,10.61,6.97,4.27
1.92,-17.684,0.000,0.000,FORWARD,False,10.54,6.92,4.20
2.24,-17.588,0.000,0.000,FORWARD,False,10.44,6.88,4.24
2.56,-17.492,0.000,0.000,FORWARD,False,10.36,6.86,4.43
2.88,-17.396,0.000,0.000,FORWARD,False,10.28,6.81,4.30
3.20,-17.300,0.000,0.000,FORWARD,False,10.19,6.78,4.49
3.52,-17.204,0.000,0.000,FORWARD,False,10.08,6.74,4.67
3.84,-17.108,0.000,0.000,FORWARD,False,9.98,6.72,4.48
4.16,-17.012,0.000,0.000,FORWARD,False,9.92,6.68,4.83
4.48,-16.916,0.000,0.000,FORWARD,False,9.80,6.64,4.83
4.80,-16.820,0.000,0.000,FORWARD,False,9.71,6.60,4.76
5.12,-16.724,0.000,0.000,FORWARD,False,9.63,6.59,5.00
5.44,-16.628,0.000,0.000,FORWARD,False,9.54,6.56,5.05
5.76,-16.532,0.000,0.000,FORWARD,False,9.43,6.53,5.10
6.08,-16.436,0.000,0.000,FORWARD,False,9.34,6.49,5.28
6.40,-16.340,0.000,0.000,FORWARD,False,9.26,5.76,5.37
6.72,-16.244,0.000,0.000,FORWARD,False,9.16,6.43,5.55
7.04,-16.148,0.000,0.000,FORWARD,False,9.08,6.42,5.67
7.36,-16.052,0.000,0.000,FORWARD,False,8.99,6.40,5.55
7.68,-15.956,0.000,0.000,FORWARD,False,8.90,6.38,5.98
8.00,-15.860,0.000,0.000,FORWARD,False,8.80,6.36,6.09
8.32,-15.764,0.000,0.000,FORWARD,False,8.71,6.34,5.94
8.64,-15.668,0.000,0.000,FORWARD,False,8.61,6.34,6.28
8.96,-15.572,0.000,0.000,FORWARD,False,8.56,6.31,6.04
9.28,-15.476,0.000,0.000,FORWARD,False,8.40,6.30,5.57
9.60,-15.380,0.000,0.000,FORWARD,False,8.31,6.28,5.24
9.92,-15.284,0.000,0.000,FORWARD,False,8.24,6.27,5.01
10.24,-15.188,0.000,0.000,FORWARD,False,8.14,6.26,4.80
10.56,-15.092,0.000,0.000,FORWARD,False,8.04,6.26,4.40
10.88,-14.996,0.000,0.000,FORWARD,False,7.96,6.25,4.05
11.20,-14.900,0.000,0.000,FORWARD,False,7.87,6.23,4.06
11.52,-14.804,0.000,0.000,FORWARD,False,7.78,6.23,3.76
11.84,-14.708,0.000,0.000,FORWARD,False,7.71,6.24,3.29
12.16,-14.612,0.000,0.000,FORWARD,False,7.63,6.24,3.30
12.48,-14.516,0.000,0.000,FORWARD,False,7.54,6.25,3.13
12.80,-14.420,0.000,0.000,FORWARD,False,7.45,6.31,3.05
13.12,-14.324,0.000,0.000,FORWARD,False,7.36,6.41,2.98
13.44,-14.228,0.000,0.000,FORWARD,False,7.27,10.88,3.49
13.76,-14.132,0.000,0.000,FORWARD,False,7.13,10.79,3.61
14.08,-14.036,0.000,0.000,FORWARD,False,7.07,10.72,12.53
14.40,-13.940,0.000,0.000,FORWARD,False,7.00,10.66,12.39
14.72,-13.844,0.000,0.000,FORWARD,False,6.89,10.59,12.31
15.04,-13.748,0.000,0.000,FORWARD,False,6.80,10.51,12.15
15.36,-13.652,0.000,0.000,FORWARD,False,6.72,10.44,11.24
15.68,-13.556,0.000,0.000,FORWARD,False,6.64,10.37,11.93
16.00,-13.460,0.000,0.000,FORWARD,False,6.56,10.33,11.76
16.32,-13.364,0.000,0.000,FORWARD,False,6.41,10.26,11.66
16.64,-13.268,0.000,0.000,FORWARD,False,6.36,10.22,11.49
16.96,-13.172,0.000,0.000,FORWARD,False,6.22,10.15,11.36
17.28,-13.076,0.000,0.000,FORWARD,False,6.19,10.07,11.22
17.60,-12.980,0.000,0.000,FORWARD,False,6.13,10.03,11.09
17.92,-12.884,0.000,0.000,FORWARD,False,6.03,9.92,10.98
18.24,-12.788,0.000,0.000,FORWARD,False,5.94,9.89,10.83
18.56,-12.692,0.000,0.000,FORWARD,False,5.84,9.84,10.71
18.88,-12.596,0.000,0.000,FORWARD,False,5.77,9.79,10.56
19.20,-12.500,0.000,0.000,FORWARD,False,5.69,9.72,10.45
19.52,-12.404,0.000,0.000,FORWARD,False,5.60,9.64,10.30
